Flight_id,origin,destination,departure,arrival
1,IST,ANK,07:00,08:00
2,IST,IZM,06:00,07:00
3,IZM,ANK,10:05,11:20
4,IST,ANT,08:25,09:40
5,IZM,ANK,19:20,20:40
6,IZM,IST,09:00,10:00
7,ANT,IST,11:00,12:10
8,IST,ANT,14:25,15:50
9,IST,IZM,09:00,10:00
10,IST,IZM,11:00,12:00
11,ANT,IST,16:50,18:05
12,IZM,IST,11:00,12:00
13,IST,ANK,11:00,12:00
14,IST,ANT,19:00,20:15
15,IST,IZM,13:00,14:00
16,IZM,IST,13:00,14:00
17,IST,ANK,13:00,14:00
18,ANT,IST,21:15,22:30
19,IZM,IST,15:00,16:00
20,IST,ANK,15:00,16:00
21,IST,IZM,17:00,18:00
22,IZM,IST,19:20,20:20
23,IST,ANK,17:00,18:00
24,IZM,IST,22:00,23:00
25,IST,IZM,20:00,21:00
26,IST,ANK,19:00,20:00
27,IST,ANK,22:00,23:00
28,IST,ANK,23:45,00:45
29,ANK,IZM,07:45,09:05
30,ANK,IZM,17:00,18:20
31,ANK,IST,08:00,09:00
32,ANK,IST,11:00,12:00
33,ANK,IST,14:00,15:00
34,ANK,IST,17:00,18:00
35,ANK,IST,13:00,14:00
36,ANK,IST,21:00,22:00
37,ANK,IST,20:00,21:00
38,ANK,IST,22:00,23:00
